file,psys,pkg,cores,gpu,ram,duration_time,user_time,system_time,perf_time,lang,machine,cores,power_limit
2126568.exe ,  4.63,  0.54,  0.44,  0.00,  0.15,  272465845,  253441000,   19033000,  315684293, c++, elite, mult, 2
2126568.exe ,  4.36,  0.50,  0.41,  0.00,  0.14,  256208224,  230183000,   26020000,  299215153, c++, elite, mult, 2
2147790.exe ,  4.64,  0.53,  0.44,  0.00,  0.15,  270741752,  252751000,   17911000,  314074852, c++, elite, mult, 2
2147790.exe ,  4.60,  0.53,  0.44,  0.00,  0.15,  269053208,  253122000,   15944000,  313028505, c++, elite, mult, 2
2147790.exe ,  4.60,  0.53,  0.43,  0.00,  0.15,  267101129,  247184000,   19934000,  310211911, c++, elite, mult, 2
2147790.exe ,  4.66,  0.54,  0.44,  0.00,  0.15,  271424119,  253390000,   18027000,  313399146, c++, elite, mult, 2
2147790.exe ,  4.88,  0.56,  0.46,  0.00,  0.16,  285533077,  264493000,   21039000,  334231673, c++, elite, mult, 2
2147790.exe ,  4.94,  0.57,  0.47,  0.00,  0.16,  287320937,  267349000,   19951000,  329114106, c++, elite, mult, 2
2147790.exe ,  4.80,  0.55,  0.45,  0.00,  0.16,  276855895,  263670000,   13033000,  319418500, c++, elite, mult, 2
2147790.exe ,  4.75,  0.54,  0.44,  0.00,  0.15,  274128675,  261189000,   12959000,  318266211, c++, elite, mult, 2
2147790.exe ,  4.68,  0.54,  0.44,  0.00,  0.15,  274042440,  260919000,   12995000,  318725473, c++, elite, mult, 2
2147790.exe ,  4.76,  0.54,  0.45,  0.00,  0.16,  275333602,  256302000,   19022000,  318305279, c++, elite, mult, 2
2267323.exe , 12.61,  1.46,  1.20,  0.00,  0.39,  740430137,  720332000,   20009000,  788281003, c++, elite, mult, 2
2267323.exe , 13.20,  1.57,  1.30,  0.00,  0.42,  755335341,  736144000,   18977000,  801415945, c++, elite, mult, 2
2267323.exe , 12.11,  1.38,  1.13,  0.00,  0.38,  703746549,  687724000,   15993000,  754323176, c++, elite, mult, 2
2267323.exe , 12.33,  1.43,  1.17,  0.00,  0.38,  723620627,  701525000,   21985000,  767864304, c++, elite, mult, 2
2267323.exe , 12.28,  1.41,  1.15,  0.00,  0.38,  715392427,  696320000,   19008000,  765541854, c++, elite, mult, 2
2267323.exe , 11.99,  1.37,  1.12,  0.00,  0.37,  695970429,  677852000,   17996000,  740067143, c++, elite, mult, 2
2267323.exe , 12.72,  1.59,  1.32,  0.00,  0.40,  734754171,  711134000,   21003000,  777388184, c++, elite, mult, 2
2267323.exe , 12.18,  1.41,  1.15,  0.00,  0.38,  712386702,  691279000,   21008000,  755998808, c++, elite, mult, 2
2267323.exe , 11.85,  1.36,  1.12,  0.00,  0.37,  691944565,  665749000,   25990000,  738658878, c++, elite, mult, 2
2267323.exe , 12.24,  1.41,  1.16,  0.00,  0.38,  717605253,  704547000,   13010000,  764816698, c++, elite, mult, 2
